,단어,빈도수
0,알콜,972
1,맛,783
2,무,682
3,하이트,205
4,탄산,185
5,제로,176
6,생각,133
7,임신,133
8,향,101
9,수유,98
10,모유수유,95
11,칼로리,89
12,음료,83
